Column1;First name;Last name;Published
239;Jota;Samper;True
240;Jean Baptiste;Koehl;False
241;Miracle;Jones;True
242;Gilad;Bino;False
243;Nigel;Topping;True
244;Armand;Angour;
245;Andrew;McDonald;False
246;Emma;Marris;True
247;Molly;Wright;True
248;Marcus;du Sautoy;True
249;Sasha Kutabah;Sarago;True
250;Alok;Sharma;True
251;Candis Watts;Smith;True
252;Jonathan;Smith;False
253;Claire;Malone;True
254;Lukas;Rieppel;False
255;Andrea;Berchowitz;True
256;Almudena;Toral;True
257;Georges;Nzongola-Ntalaja;False
258;Jen;Gunter;True
259;Jorge;Man?????es Rubio;True
260;Stefan;Al;False
261;Sean;Sherman;True
262;Bj????rn;Ulvaeus;True
264;Robert;Chang;False
265;Laura;Tenenbaum;False
266;Zahra;Al-Mahdi;True
267;Angela Lee;Duckworth;True
268;Anne;Scherer;True
269;Darien;Satterfield;False
271;Kathy;Hannun;True
272;Clover;Hogan;True
273;Shravan;S K;False
275;Luis;Zambrano;False
276;Sarah;Rugheimer;True
277;Haimanti;Roy;False
278;Robert A.;Belle;True
279;Khadijah;Tribble;True
280;Meg;Jacobs;False
282;Itamar;Mann;True
283;David;Kessler;True
284;Francis;de los Reyes;True
285;Luvvie;Ajayi Jones;True
286;Rohan;Pavuluri;True
288;Crystal;Rasmussen;True
289;Feras;Fayyad;True
292;Brian;Kateman;False
293;Naomi;Mwaura;True
294;Susan;Reverby;False
295;Nina;Westbrook;True
296;Aaron;Morris;True
297;Mark;Robinson;False
298;Bianca;Tylek;True
299;Valerie;Purdie-Greenaway;True
300;Nina;Jablonski;True
302;Meg;Jay;True
303;Jessica;Kerr;True
305;Matthew;Mazzotta;True
306;Sophie;Williams;True
307;Naomi;Shimada;True
308;Dennis;Shasha;False
310;Brittany;Young;True
311;Beth;Ford;True
312;Kenneth;Kostel;False
313;Khalil;Ramadi;True
316;Emily;Nagoski;True
317;Gary;Devore;False
319;Dan;Goods;True
320;Masako;Tamaki;False
321;Sarah;Ellis;True
322;Marianne;Schwarz;False
323;Nadya;Bartol;True
325;Yuko;Munakata;True
326;Simon;Sinek;True
327;Anu;Puusa;True
328;Orisanmi;Burton;False
329;June;Tangney;True
330;Amy;Hrdina;False
331;Daniel;Kraft;True
332;Dominic;Price;True
334;Sahaj Kaur;Kohli;True
335;Cory;Combs;True
337;Marcos;Aguiar;True
338;Grantly;Galland;False
339;Rumaitha;Al Busaidi;True
340;Sara;Mednick;False
342;Angel;Hsu;True
344;Tai;Simpson;True
345;Daniel J.;Watts;True
347;Miracle;Jones;False
348;Sam;Altman;False
349;Rebecca;Barthelmie;False
350;John;Marshall;True
351;Lisa;Genova;True
353;Justin;Schmidt;False
354;Kiran;Mazumdar-Shaw;True
355;Steven D.;Allison;True
356;David;Gruber;True
358;Canwen;Xu;False
359;Joan C.;Williams;True
360;Megan;McArthur;True
361;Joseph;Goffman;False
362;Nomava;Zanazo;True
363;Erick;Wilberding;False
364;Kalika;Bali;True
365;Saleem;Reshamwala;False
366;Kristiina;Hurme;False
367;Jens;Burchardt;True
368;Esther;Perel;True
369;;TED-Ed;False
370;Katherine M.;Gehl;True
372;Tim;Nevius;True
373;Manoush;Zomorodi;True
374;Jacques;Abramowicz;False
375;Kate;Lister;True
376;Michael;Levin;True
377;Archie;Crowley;True
378;Kayla;Wolf;False
379;Brian;Pavlac;False
380;Andrew;Youn;True
381;Atossa;Leoni;False
383;Amber;McReynolds;True
384;Caroline;Catlin;True
386;Natsai Audrey;Chieza;True
388;Bill;Gates;True
390;Neil;Jeyasingam;False
391;Tyler;DeWitt;True
392;Julia;Dhar;True
394;Emily;Leproust;True
395;Chase;LaDue;False
396;Leslie;Herod;True
397;Franklin;Leonard;True
398;Patty;McCord;True
399;Antoine;Gour????vitch;True
400;Knut Ivar;Bj????rlykhaug;True
402;Lisa;Krause;False
403;Jodi-Ann;Burey;True
405;Susan;David;True
406;Sir Ken;Robinson;True
407;Gloria;Kasang Bulus;True
408;Elaine;Fong;True
409;Wendy;De La Rosa;True
410;Heather;Malyuk;False
411;Betty;Hart;True
413;William;Collis;True
414;Cheryl;Strayed;False
415;Karen;Cox;False
416;Kevin;Roose;True
417;Angela Mahecha;Adrar;True
419;Edwin;Meyer;False
